archivo_referencia_privado,sets,params_principales,variables_principales,objetivo,restricciones_principales
01_fundamentos_optimizacion/FabricaPinturas.mod,,,"BluePaint,BlackPaint",maximize Revenue,"Time,BlueLimit,BlackLimit"
01_fundamentos_optimizacion/FabricaPinturasGen.mod,Pinturas,"precio,ritmo,venta_max,tiempo_max",produccion,maximize Ganancias,"Tiempo,Limite "
01_fundamentos_optimizacion/LocalizacionAntenas1.mod,"MEDIDOR,ANTENA","distancia,distancia_maxima,costo","instalacion,cobertura",minimize costo_instalacion,"limite_distancia ,verificacion_instalacion ,cobertura_minima "
01_fundamentos_optimizacion/TransporteEnergia.mod,"CENTRAL,CIUDAD","demanda,costo,Factor_reserva,capacidad,Factor_reserva,costo",Prod,minimize costo_total,"Capacidad ,Demanda "
01_fundamentos_optimizacion/ecuaciones.mod,"J,I","n,m,C,A,B",X,minimize z,restriccion 
02_operacion_corto_plazo/ED/ED_Uninodal.mod,UGT,"demanda,a,b,c,Pmin,Pmax",Pg,minimize CostoTotal,"Balance_Potencia,Limites_Operativos "
02_operacion_corto_plazo/ED Hydrothermal/case0_excel_agrupado.mod,T,"duration,demand,aT,bT,cT,PTmin,PTmax,aH","PT,PH,q",minimize CostoTotal,"BalancePotencia ,ProduccionHidraulica ,PresupuestoAgua,LimiteMinimoTermica ,LimiteMaximoTermica ,LimiteMinimoHidraulica ,LimiteMaximoHidraulica "
02_operacion_corto_plazo/ED Hydrothermal/case1_hydrothermal_simple.mod,T,"load,n,inflow_const,losscof,costcoef,c0,c1,c2","thermal,hydro,loss,q,v",minimize CostoTotal,"BalancePotencia ,PerdidasActivas ,ContinuidadEmbalseInicial ,ContinuidadEmbalse ,ProduccionHidraulica ,LimiteMinimoTermica ,LimiteMaximoTermica ,LimiteMinimoHidraulica ,LimiteMaximoHidraulica ,LimiteMinimoVolumen "
02_operacion_corto_plazo/ED Hydrothermal/case2_cascada_base.mod,"T,H,G","demand,zeta,inflow,a,b,c,PTmin,PTmax","PT,PH,V,R,Spill",minimize CostoTotal,"BalancePotencia ,ProduccionHidraulica ,ContinuidadEmbalseInicial ,ContinuidadEmbalse ,VolumenFinal ,LimiteMinimoVolumen ,LimiteMaximoVolumen ,LimiteMinimoDescarga ,LimiteMaximoDescarga ,LimiteMinimoHidraulica "
02_operacion_corto_plazo/ED Hydrothermal/case3_cascada_rampas.mod,"T,H,G","demand,zeta,inflow,a,b,c,PTmin,PTmax","p,PH,V,R,Spill",minimize CostoTotal,"BalancePotencia ,ProduccionHidraulica ,ContinuidadEmbalseInicial ,ContinuidadEmbalse ,VolumenFinal ,LimiteMinimoVolumen ,LimiteMaximoVolumen ,LimiteMinimoDescarga ,LimiteMaximoDescarga ,LimiteMinimoHidraulica "
02_operacion_corto_plazo/ED piecewise/piecewise_economic_dispatch.mod,UGT,"D,S,a,b,c,Pmin,Pmax,m","P,P2,dt_s",minimize costo_total,"balance_potencia,limites_opearativos ,potencia_linealizada,potencia_unidad,limites "
03_opf_flujo_optimo_potencia/OPF AC/OPFAC.mod,"OB,OL","Sbase,Nombre,Tb,V0,th0,Pd,Qd,Pg0","V,th,Pg,Qg,Pde,Qde,Ppa,Qpa",minimize generacion_slack,"balance_activa ,balance_reactiva ,flujo_activa_de ,flujo_reactiva_de ,flujo_activa_pa ,flujo_reactiva_pa ,limite_voltaje ,limite_ramales_de ,limite_ramales_pa "
03_opf_flujo_optimo_potencia/OPF DC/OPF-DC.mod,"OB,OL","Tb,V0,P0,Pmax,Pmin,Pd,A,B","Pg,Theta,P",minimize Costo_total,"BalancePotencia ,FlujoPotencia ,LimitePotenciaLineas ,LimiteGeneracion "
04_tnep_expansion_transmision/1 Modelo de Transporte/transporte.mod,"OB,OL","Sbase,nombre,Tb,cg,gshb,bshb,mmax,Pd","Pg,Pij,n",minimize costos,"balance_activa ,flujo_activa_max_ij ,flujo_activa_min_ij ,limite_activa_max ,limite_lineas_min "
04_tnep_expansion_transmision/2 Modelo Huristico Constructivo/Heuristico.mod,"OB,OL","Sbase,nombre,Tb,cg,gshb,bshb,mmax,Pd","Pg,Pde,n",minimize costos,"balance_activa ,flujo_activa_max_de ,flujo_activa_min_de ,limite_activa_max ,limite_lineas_min "
04_tnep_expansion_transmision/3 Modelo DC/garverDC.mod,"OB,OL","nombre,Tb,cg,gshb,bshb,mmax,Pd,Pgmax","Pg,th,P,n",minimize costo_total,"balance_activa ,SegundaLey ,LimitesPg ,LimitesN ,flujo_activaMin ,flujo_activaMax "
04_tnep_expansion_transmision/4 Modelo Hibrido Lineal/hibridoLineal.mod,"OB,OL","Sbase,nombre,Tb,cg,gshb,bshb,mmax,Pd","Pg,th,Pde,n,PdeO",minimize costos,"balance_activa ,flujo_activa_existentes ,flujo_activa_max_deO ,flujo_activa_max_de ,flujo_activa_min_de ,limite_activa_max ,limite_lineas_min "
04_tnep_expansion_transmision/5 Modelo Lineal Disyuntivo/LinealDisyuntivo.mod,"OB,OL,Y","Sbase,thmax,nombre,Tb,cg,gshb,bshb,mmax","Pg,th,Pde0,Pde,w",minimize costos,"balance_activa ,flujo_activa ,BigM1 ,BigM2 ,flujo_activa_max_de ,flujo_activa_max_nueva ,flujo_activa_min_nueva ,limite_activa_max ,limite_angulos ,limite_lineas "
04_tnep_expansion_transmision/6 Multietapa/01_DC_multietapa_solo_inversion/TEP_DC_multietapa_solo_inversion.mod,"OB,T,Y,OL","Sbase,thmax,CENS,alpha,hours,nombre,Tb,cg","Pg,th,F,n",minimize TotalCost,"Balance,DC_Flow,Flow_Max,Flow_Min,Gen_Limits,Angle_Limits,Ref_Angle,Max_New_Lines"
04_tnep_expansion_transmision/6 Multietapa/02_DC_multietapa_inversion_operacion/TEP_DC_multietapa_inversion_operacion.mod,"OB,T,Y,OL","Sbase,thmax,CENS,alpha,hours,nombre,Tb,cg","Pg,th,F,n,PNS",minimize TotalCost,"Balance,DC_Flow,Flow_Max,Flow_Min,Gen_Limits,ENS_Limit,Angle_Limits,Ref_Angle,Max_New_Lines"
04_tnep_expansion_transmision/6 Multietapa/03_Lineal_disyuntivo_multietapa/TEP_lineal_disyuntivo_multietapa.mod,"OB,T,Y,OL","Sbase,thmax,CENS,alpha,hours,nombre,Tb,cg","Pg,th,F0,Fc,x,y,PNS",minimize TotalCost,"Balance,Existing_DC_Flow,Existing_Flow_Max,Existing_Flow_Min,Availability,Build_Once,Max_Candidates,Candidate_Order,BigM_Pos,BigM_Neg"
05_gep_expansion_generacion/01_GEP_base_Garver/GEP_base_Garver.mod,"G,T,CAND","Pmax0,Pmin,Cg,ENS_Cost,IC_max,IC_min,ef,Pdem","IC,Cap,P,ENS",minimize TotalCost,"CapacityAccum,DemandBalance,DispatchLimit,MinDispatch,BuildLimit,ReserveRequirement,EmissionLimit,ENSLimit"
05_gep_expansion_generacion/02_GEP_static_blocks_Garver/gep_static_garver.mod,"TECH,BLOCK","hours,demand,cap0,inv,fom,vom,af,firm","Build,Cap,P,ENS",minimize TotalCost,"CapacityDef,DemandBalance,ProductionLimit,ReserveRequirement,CapacityLimit"
05_gep_expansion_generacion/03_GEP_multiyear_Garver/gep_multiyear_garver.mod,"YEAR,BLOCK,TECH,CAND,REN,THERM,HYDRO,VAR_REN","hours,demand,annual_demand,peak,cap0,retire,capmax,af","Select,BuildOn,Build,Cap,P,ENS,Curt,Emis",minimize TotalCost,"CapacityCandidate,CapacityExisting,BuildMaxLink,BuildMinLink,SelectLink,PotentialLimit,CapacityLimit,DemandBalance,ProductionLimit,RenewableCurtailment"
